Name,Price
"Asus VivoBook 14 2024 E1504F AMD Ryzen 5 7520U 8Gb Ram 512Gb SSD 14."" FHD Win11 Backlit Keyboard Fingerprint 2 years Authorize warranty","Rs. 77,000"
Lenovo IdeaPad Slim 3 14IRH8 Intel Core i5 13420H Processor | 8GB RAM | 512GB SSD | 14.0-inch FHD | Backlit Keyboard Laptop,"Rs. 71,490"
Lenovo Laptop Intel Celeron Processor 4 GB| 256 GB SSD| 15.6'' Display Black,"Rs. 34,500"
"Acer Aspire 3 2023 Ryzen 5 7520U | 8GB RAM | 512GB SSD | 15.6"" FHD Display","Rs. 61,998"
HP Laptop 14 | 13th Gen Intel Core i3-1315U | 14-inch FHD | 8GB DDR4 | 256 GB SSD | Intel UHD Graphics |,"Rs. 55,000"
"HP Notebook 250 G9 i5 12th Gen 1235U | 16GB RAM | 512GB NVMe SSD | Backlit Keyboard |Windows 11| 15.6"" FHD Laptop","Rs. 74,999"
Acer Swift Go 14 2024 (Intel Core Ultra 5 125H Processor | 16GB RAM | 512GB SSD | Intel Arc Graphics | 14-inch WQXGA+ 2.8K IPS Display | AI Integrated,"Rs. 113,110"
Dell Vostro 3530 Intel Core i5 13th Gen 1334U 16GB RAM 512GB NVMe SSD 15.6” 120Hz FHD Laptop,"Rs. 75,490"
"Acer Aspire 3 (A314-42P-R1T0) Ryzen 7 5700U/8GB RAM/512GB SSD/AMD Radeon/14"" WUXGA IPS/Windows 11 Home Laptop Acer Aspire 3 (A314-42P-R1T0) Ryzen 5 5700U/8GB RAM/512GB SSD/AMD Radeon/14"" WUXGA IPS/Windows 11 Home Laptop Acer Aspire 3 (A314-42P-R1T0) Ryze","Rs. 70,000"
"HP Envy x360 14 i5 13th Gen \ 8GB RAM \ 512GB SSD \ 14"" FHD 360 Touch Screen Display","Rs. 105,000"
"Acer Aspire 3 2023 Ryzen 5 7520U 8GB RAM 256GB SSD 15.6"" FHD Display","Rs. 58,790"
Dell 3520 i5 11th Gen 8GB RAM/256GB SSD/15.6FHD,"Rs. 62,998"
"Asus Expertbook Flip i7 12th Gen| 16GB RAM | 512GB SSD | 14"" FHD x360 Touch Display| Backlit KB | Stylus Pen","Rs. 111,000"
Acer Aspire 3 A315 AMD Ryzen 5 7520U 8GB RAM 512GB SSD Laptop,"Rs. 55,490"
Acer Aspire 5 A515-58 Intel Core i5 13th Gen 13420H – 8GB DDR5 RAM – 512GB NVMe Gen4 SSD – Intel UHD Integrated Graphics – 15.6″ FHD TouchScreen Display – Windows 11 Home – Steel Grey,"Rs. 79,999"
Dell Laptop 3520 I3 12th Generation 8gb 512gb,"Rs. 52,500"
Acer Aspire Go 14 AMD Ryzen 5 7520U Processor 16GB RAM 512GB SSD 14-inch FHD Display,"Rs. 72,000"
"MSI Modern 14 F13MG Laptop (13th Gen Intel Core i5 | 16GB RAM | 512GB SSD | 14"" FHD IPS | Wi-Fi 6E | Backlit Keyboard | USB-C | 1.5KG)","Rs. 77,300"
"HP Victus Gaming Laptop, AMD Ryzen 7 8845HS (Beats i7-1355U), NVIDIA GeForce RTX 4070, 16.1"" FHD 144Hz, Wi-Fi 6, Windows 11 Home, W/HDMI Cable (32GB RAM | 2TB PCIe SSD)","Rs. 120,000"
Lenovo Ideapad Slim 3 | Core i7 | 16 GB RAM | 512 GB SSD |,"Rs. 88,400"
"Asus (Intel Celeron N4500 Processor | 4GB RAM | 64GB + 256 GB SSD | Intel UHD Graphics | 14"" FHD Display)","Rs. 33,499"
Lenovo Ideapad 1 Celeron | 4GB | 256ssd | 14 Laptop,"Rs. 33,490"
"Dell Vostro 3520 | Core™ i5-1235U | 8GB | 256GB | 15.6"" FHD | UBUNTU","Rs. 66,900"
Dell vostro 15 3520 Intel core i5 12gen / 8gb DDDR4 Ram /256gb Nvme SSD / 15.6 inch FHD Display,"Rs. 63,500"
Lenovo ThinkBook 14 G4 IAP (Intel Core i5 12th Gen 1235U Processor | 16GB RAM | 512GB SSD | Intel Iris Xe Graphics | 14″ FHD Display),"Rs. 78,000"
[2024] HP Envy x360 14-ES0013dx (14th Gen Intel Core 5 120U Processor | 8GB RAM | 512GB SSD | 14″ FHD 2-in-1 Touch Screen Display | Fingerprint Reader),"Rs. 88,599"
Acer Aspire Lite 14 Intel Core i3 N300 – 8GB DDR5 RAM – 512GB NVMe Gen 4 SSD – Intel Integrated Graphics – 14″ WUXGA Display – Silver,"Rs. 52,999"
"Lenovo IP3 Ryzen 7 5700U/8GB RAM/256GB SSD/14"" FHD","Rs. 73,990"
"Lenovo IdeaPad Slim 3 14IRH8 - Intel Core I7-13620H | 16GB LPDDR5 | 14"" (1920x1080) IPS | Win 11","Rs. 92,999"
"MSI Computer GF63, NVIDIA GeForce GTX 1650 Graphics, 15.6"" 8GB 256GB Intel Core i5-10300H X4 2.5GHz Win10","Rs. 50,000"
"Asus Zenbook Q425MA Intel Core Ultra 7 - 155H | 16 GB DDR5 | 1 TB SSD | 14"" FHD (1920 x 1200) OLED TouchScreen | Backlit Keyboard | Win 11","Rs. 131,990"
"Dell Vostro 3520 i5 12th Gen | 16GB RAM | 512GB SSD | 15.6"" 120Hz FHD | Black","Rs. 68,499"
"Acer Aspire 5 i5 12th Gen 1235U | 8GB RAM | 512GB SSD | NVIDIA RTX 2050 4GB | 15.6"" FHD IPS Display","Rs. 84,999"
"Lenovo IdeaPad Flex 5 14"" Touch Laptop Intel i5-12th gen, 8GB RAM, 256GB SSD (82R700ABUS)","Rs. 85,000"
"Acer Aspire 3 2023 Ryzen 5 7520U | 8GB RAM | 512GB SSD | 15.6"" FHD Display | 1 Year Warranty","Rs. 62,996"
"Acer Nitro V Gaming Laptop | Intel Core i7-13620H Processor | NVIDIA GeForce RTX 4050 Laptop GPU | 15.6"" FHD IPS 144Hz Display | 16GB DDR5 | 512GB Gen 4 SSD | WiFi 6 | Backlit KB","Rs. 68,000"
"Lenovo IdeaPad Slim 3 i5 13th Gen 8GB RAM 512GB SSD 15.6"" FHD Backlight Keyboard","Rs. 69,990"
Asus Vivobook,"Rs. 54,000"
HP 255 G8 Ryzen 7,"Rs. 72,200"
Asus Expertbook B1 | Core i5-12th Gen | 8 GB RAM | 512 GB SSD | 14″ FHD Display | Backlit Keyboard,"Rs. 71,000"
"Dell 15.6'' Vostro 3520 Business Laptop, 12th Gen Intel Core i3 Processor, 8GB RAM, 1TB SSD, FHD IPS Display, Windows 11 Pro, RJ-45, SD Card Reader, Webcam, HDMI, Wi-Fi, w/WOWPC Bundle, Black","Rs. 50,999"
"Mi Notebook Pro (14-inch TrueLife display, intel-Core i5-11300H,Fingerprint sensor, 16GB RAM, 512GB PCIe NVMe SSD)","Rs. 99,500"
Dell Latitude e7490 Corei7 8th Gen 8gb 256gb 14”Backlit Keyboard,"Rs. 55,000"
